Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,Genres,genre
Photo Kano,フォトカノ,13,Visual novel,PG-13 - Teens 13 or older,Spring 2013,TV,Madhouse,6.20,38393 ,Ranked #7536,Popularity #1519,101586,https://myanimelist.net/anime/16397/Photokano,Ecchi;Romance;School,Madhouse
Strawberry 100%,いちご100%,12,Manga,PG-13 - Teens 13 or older,Spring 2005,TV,Madhouse,6.66,48755 ,Ranked #5209,Popularity #1523,101476,https://myanimelist.net/anime/248/Ichigo_100,Comedy;Ecchi;Harem;Romance;Shounen,Madhouse
-,ちはやふる 3,24,Manga,PG-13 - Teens 13 or older,Fall 2019,TV,Madhouse,8.49,40385 ,Ranked #114,Popularity #1524,102252,https://myanimelist.net/anime/37379/Chihayafuru_3,Game;Slice of Life;Sports;Drama;School;Josei,Madhouse
Shigurui: Death Frenzy,シグルイ,12,Manga,R+ - Mild Nudity,Summer 2007,TV,Madhouse,7.40,30088 ,Ranked #1938,Popularity #1531,100749,https://myanimelist.net/anime/2216/Shigurui,Action;Historical;Psychological;Drama;Martial Arts;Samurai;Seinen,Madhouse
Card Captor Sakura Movie 2: The Sealed Card,劇場版 カードキャプターさくら 封印されたカード,1,Manga,PG - Children,-,Movie,Madhouse,8.21,58975 ,Ranked #301,Popularity #1533,100564,https://myanimelist.net/anime/372/Cardcaptor_Sakura_Movie_2__Fuuin_Sareta_Card,Comedy;Drama;Fantasy;Magic;Romance;Shoujo,Madhouse
Cardcaptor Sakura: Clear Card,カードキャプターさくら クリアカード編,22,Manga,PG - Children,Winter 2018,TV,Madhouse,7.65,30927 ,Ranked #1160,Popularity #1557,98976,https://myanimelist.net/anime/33354/Cardcaptor_Sakura__Clear_Card-hen,Adventure;Comedy;Fantasy;Magic;Romance;Shoujo,Madhouse
Hanayamata,ハナヤマタ,12,Manga,PG-13 - Teens 13 or older,Summer 2014,TV,Madhouse,7.33,33770 ,Ranked #2233,Popularity #1564,97883,https://myanimelist.net/anime/21681/Hanayamata,Slice of Life;Comedy;School,Madhouse
All Out!!,オールアウト!!,25,Manga,PG-13 - Teens 13 or older,Fall 2016,TV,"Madhouse,             TMS Entertainment",7.07,38569 ,Ranked #3384,Popularity #1609,95227,https://myanimelist.net/anime/31588/All_Out,School;Seinen;Sports,Madhouse
Beyblade,爆転シュート　ベイブレード,51,Manga,PG - Children,Winter 2001,TV,Madhouse,6.73,58699 ,Ranked #4844,Popularity #1622,93832,https://myanimelist.net/anime/288/Bakuten_Shoot_Beyblade,Action;Adventure;Comedy;Sports;Kids,Madhouse
Overlord IV,オーバーロード IV,Unknown,Light novel,R - 17+ (violence & profanity),-,TV,Madhouse,N/A,- user,Ranked N/A,Popularity #1635,97086,https://myanimelist.net/anime/48895/Overlord_IV,Action;Game;Supernatural;Magic;Fantasy,Madhouse
-,MEMORIES（メモリーズ）,3,Manga,PG-13 - Teens 13 or older,-,Movie,"Madhouse,             Studio 4°C",7.73,33210 ,Ranked #981,Popularity #1699,87775,https://myanimelist.net/anime/1462/Memories,Drama;Horror;Psychological;Sci-Fi,Madhouse
Cardcaptor Sakura The Movie,劇場版 カードキャプターさくら,1,Manga,PG - Children,-,Movie,Madhouse,7.64,51422 ,Ranked #1196,Popularity #1714,86729,https://myanimelist.net/anime/371/Cardcaptor_Sakura_Movie_1,Comedy;Drama;Magic;Fantasy;Shoujo,Madhouse
-,闘牌伝説アカギ　闇に舞い降りた天才,26,Manga,R - 17+ (violence & profanity),Fall 2005,TV,Madhouse,7.94,36322 ,Ranked #621,Popularity #1731,85810,https://myanimelist.net/anime/658/Touhai_Densetsu_Akagi__Yami_ni_Maiorita_Tensai,Game;Psychological;Thriller;Seinen,Madhouse
Kurozuka,黒塚,12,Manga,R - 17+ (violence & profanity),Fall 2008,TV,Madhouse,6.91,28295 ,Ranked #4057,Popularity #1736,85187,https://myanimelist.net/anime/5039/Kurozuka,Action;Drama;Historical;Horror;Romance;Sci-Fi;Vampire,Madhouse
-,メトロポリス,1,Manga,PG-13 - Teens 13 or older,-,Movie,Madhouse,7.53,37140 ,Ranked #1520,Popularity #1751,84100,https://myanimelist.net/anime/522/Metropolis,Adventure;Drama;Police;Romance;Sci-Fi;Shounen,Madhouse
