Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,genre
My Next Life as a Villainess: All Routes Lead to Doom! X,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…X,12,Light novel,PG-13 - Teens 13 or older,Summer 2021,TV,SILVER LINK.,7.65,9177 ,Ranked #1173,Popularity #1426,109393,https://myanimelist.net/anime/42282/Otome_Game_no_Hametsu_Flag_shika_Nai_Akuyaku_Reijou_ni_Tensei_shiteshimatta_X,Shoujo
Maid Sama!: Omake dayo,会長はメイド様！おまけだよ！,1,Manga,PG-13 - Teens 13 or older,-,Special,J.C.Staff,7.49,56536 ,Ranked #1642,Popularity #1432,108954,https://myanimelist.net/anime/9366/Kaichou_wa_Maid-sama__Omake_dayo,Shoujo
Earl and Fairy,伯爵と妖精,12,Light novel,PG-13 - Teens 13 or older,Fall 2008,TV,Artland,7.25,48240 ,Ranked #2605,Popularity #1436,108241,https://myanimelist.net/anime/4551/Hakushaku_to_Yousei,Shoujo
Gravitation,グラビテーション,13,Manga,PG-13 - Teens 13 or older,Fall 2000,TV,Studio Deen,6.99,56958 ,Ranked #3751,Popularity #1464,105857,https://myanimelist.net/anime/243/Gravitation,Shoujo
-,暁のヨナ,3,Manga,PG-13 - Teens 13 or older,-,OVA,Studio Pierrot,8.09,54466 ,Ranked #428,Popularity #1465,106604,https://myanimelist.net/anime/30370/Akatsuki_no_Yona_OVA,Shoujo
-,orange －未来－,1,Manga,PG-13 - Teens 13 or older,-,Movie,Telecom Animation Film,7.44,35209 ,Ranked #1788,Popularity #1491,103910,https://myanimelist.net/anime/34136/Orange__Mirai,Shoujo
Dance with Devils,ダンス・ウィズ・デビルス,12,Original,R - 17+ (violence & profanity),Fall 2015,TV,Brain's Base,6.31,44395 ,Ranked #6988,Popularity #1497,103443,https://myanimelist.net/anime/29976/Dance_with_Devils,Shoujo
Mysterious Play,ふしぎ遊戯,52,Manga,PG-13 - Teens 13 or older,Spring 1995,TV,Studio Pierrot,7.64,43534 ,Ranked #1202,Popularity #1515,101806,https://myanimelist.net/anime/123/Fushigi_Yuugi,Shoujo
Hakkenden -Eight Dogs of the East-,八犬伝 -東方八犬異聞-,13,Manga,PG-13 - Teens 13 or older,Winter 2013,TV,Studio Deen,7.42,37503 ,Ranked #1880,Popularity #1525,101238,https://myanimelist.net/anime/15613/Hakkenden__Touhou_Hakken_Ibun,Shoujo
Uta no Prince Sama 2,うたの☆プリンスさまっ♪ マジLOVE2000%,13,Visual novel,PG-13 - Teens 13 or older,Spring 2013,TV,A-1 Pictures,7.22,48927 ,Ranked #2728,Popularity #1531,100540,https://myanimelist.net/anime/12711/Uta_no☆Prince-sama♪__Maji_Love_2000,Shoujo
Card Captor Sakura Movie 2: The Sealed Card,劇場版 カードキャプターさくら 封印されたカード,1,Manga,PG - Children,-,Movie,Madhouse,8.21,58975 ,Ranked #301,Popularity #1532,100546,https://myanimelist.net/anime/372/Cardcaptor_Sakura_Movie_2__Fuuin_Sareta_Card,Shoujo
-,神様はじめました,2,Manga,PG-13 - Teens 13 or older,-,OVA,TMS Entertainment,8.00,51411 ,Ranked #553,Popularity #1538,99959,https://myanimelist.net/anime/18661/Kamisama_Hajimemashita_OVA,Shoujo
