Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,genre
-,怪物王女　第26話「昏睡王女」,1,Manga,PG-13 - Teens 13 or older,-,Special,Madhouse,7.00,4725 ,Ranked #3742,Popularity #5047,10513,https://myanimelist.net/anime/4082/Kaibutsu_Oujo__Konsui_Oujo,Horror
Graveyard Kitaro,墓場鬼太郎,11,Manga,PG-13 - Teens 13 or older,Winter 2008,TV,Toei Animation,6.88,3176 ,Ranked #4200,Popularity #5087,10306,https://myanimelist.net/anime/3710/Hakaba_Kitarou,Horror
Blue Gender: The Warrior,BLUE GENDER THE WARRIOR,1,Original,R - 17+ (violence & profanity),-,Movie,AIC,6.23,4620 ,Ranked #7385,Popularity #5119,10141,https://myanimelist.net/anime/1380/Blue_Gender__The_Warrior,Horror
Devil Hunter Yohko,魔物ハンター妖子,6,Original,R+ - Mild Nudity,-,OVA,Madhouse,6.28,3752 ,Ranked #7170,Popularity #5120,10138,https://myanimelist.net/anime/1280/Mamono_Hunter_Youko,Horror
Himekishi Lilia,姫騎士リリア,6,Visual novel,Rx - Hentai,-,OVA,-,6.78,3076 ,Ranked N/A,Popularity #5122,10139,https://myanimelist.net/anime/3992/Himekishi_Lilia,Horror
-,人形草紙あやつり左近,26,Manga,R - 17+ (violence & profanity),Fall 1999,TV,TMS Entertainment,7.38,2570 ,Ranked #2038,Popularity #5126,10112,https://myanimelist.net/anime/2204/Karakurizoushi_Ayatsuri_Sakon,Horror
Violence Jack: Slumking,バイオレンス ジャック 〜ハーレム・ボンバー編〜,1,Manga,R+ - Mild Nudity,-,OVA,"Production Reed,             Ashi Production,             D.A.S.T.,             Studio 88",5.22,4738 ,Ranked #10771,Popularity #5157,9946,https://myanimelist.net/anime/1341/Violence_Jack__Harlem_Bomber-hen,Horror
-,モンスター EXTRA,1,Manga,R - 17+ (violence & profanity),-,Special,Madhouse,6.65,3871 ,Ranked #5252,Popularity #5266,9419,https://myanimelist.net/anime/1109/Monster_Extra__Hottan,Horror
Apocalypse Zero,覚悟のススメ,2,Manga,R+ - Mild Nudity,-,OVA,Ashi Production,4.74,3664 ,Ranked #11342,Popularity #5286,9307,https://myanimelist.net/anime/1647/Kakugo_no_Susume,Horror
Ichi The Killer: Episode 0,殺し屋１ THE ANIMATION EPISODE 0,1,Manga,R+ - Mild Nudity,-,OVA,AIC,5.68,4283 ,Ranked #9590,Popularity #5357,9050,https://myanimelist.net/anime/2346/Koroshiya_1_The_Animation__Episode_0,Horror
